生殖器 | 生○器 | partial
海綿體 | 海○體 | partial
前列腺 | 前○腺 | partial
攝護腺 | 攝○腺 | partial
處女膜 | 處○膜 | partial
命根子 | 命○子 | partial
性器官 | ○○○ | partial
性行為 | ○○○ | partial
性關係 | ○○○ | partial
性生活 | ○○○ | partial
肉便器 | ○○○ | partial
保險套 | ○○○ | partial
外來種 | 外來喵 | partial
外来種 | 外来喵 | partial
外萊種 | 外萊喵 | partial
菜逼八 | 菜喵喵 | partial
菜逼巴 | 菜喵喵 | partial
蔡逼八 | 蔡喵喵 | partial
蔡逼巴 | 蔡喵喵 | partial
女陰 | ○○ | partial
陰戶 | ○○ | partial
陰部 | ○○ | partial
陰阜 | ○○ | partial
陰毛 | ○○ | partial
陰唇 | ○○ | partial
陰蒂 | ○○ | partial
陰道 | ○○ | partial
會陰 | ○○ | partial
陰莖 | ○○ | partial
龜頭 | ○○ | partial
包皮 | ○○ | partial
陰囊 | ○○ | partial
睪丸 | ○○ | partial
馬眼 | ○○ | partial
尿道 | ○○ | partial
屁眼 | ○○ | partial
肛門 | ○○ | partial
精液 | ○○ | partial
打泡 | ○○ | partial
打炮 | ○○ | partial
打砲 | ○○ | partial
奶泡 | ○○ | partial
奶炮 | ○○ | partial
奶砲 | ○○ | partial
覽趴 | ○○ | partial
覽啪 | ○○ | partial
懶趴 | ○○ | partial
懶啪 | ○○ | partial
攬趴 | ○○ | partial
攬啪 | ○○ | partial
纜趴 | ○○ | partial
纜啪 | ○○ | partial
欖趴 | ○○ | partial
欖啪 | ○○ | partial
懶覺 | ○○ | partial
懶較 | ○○ | partial
懶叫 | ○○ | partial
懶教 | ○○ | partial
覽覺 | ○○ | partial
覽較 | ○○ | partial
覽叫 | ○○ | partial
覽教 | ○○ | partial
攬覺 | ○○ | partial
攬較 | ○○ | partial
攬叫 | ○○ | partial
攬教 | ○○ | partial
纜覺 | ○○ | partial
纜較 | ○○ | partial
纜叫 | ○○ | partial
纜教 | ○○ | partial
欖覺 | ○○ | partial
欖較 | ○○ | partial
欖叫 | ○○ | partial
欖教 | ○○ | partial
肥宅 | 斐宅 | partial
油腐 | 由腐 | partial
陽具 | 洋劇 | partial
性愛 | 姓艾 | partial
性交 | 姓礁 | partial
性侵 | 姓親 | partial
肉棒 | 肉蚌 | partial
自慰 | 字魏 | partial
手淫 | 首贏 | partial
早洩 | 早謝 | partial
夢遺 | 夢疑 | partial
陽痿 | 陽葦 | partial
性慾 | 姓郁 | partial
慰安 | 為安 | partial
性奴 | 姓孥 | partial
破處 | 迫處 | partial
打鎗 | 打羌 | partial
中出 | 中初 | partial
吃精 | 吃驚 | partial
噴精 | 噴鯨 | partial
口交 | 口膠 | partial
口爆 | 口報 | partial
口暴 | 口報 | partial
吹簫 | 吹笙 | partial
乳交 | 乳膠 | partial
大便 | 大辯 | partial
母狗 | 母汪 | partial
公狗 | 公汪 | partial
強暴 | 強抱 | partial
強爆 | 強抱 | partial
做愛 | 做礙 | partial
作愛 | 作礙 | partial
援交 | 圓膠 | partial
處女 | 觸女 | partial
妓女 | 繼女 | partial
婊子 | 褾子 | partial
錶子 | 褾子 | partial
裱子 | 褾子 | partial
俵子 | 褾子 | partial
表子 | 褾子 | partial
老二 | 老貳 | partial
殘體 | 蠶體 | partial
你媽 | 汝媽 | partial
你娘 | 汝娘 | partial
你孃 | 汝孃 | partial
你母 | 汝母 | partial
妳媽 | 汝媽 | partial
妳娘 | 汝娘 | partial
妳孃 | 汝孃 | partial
妳母 | 汝母 | partial
乳頭 | 乳首 | partial
奶頭 | 奶首 | partial
奶子 | 歐派 | partial
腦殘 | 腦慚 | partial
腦残 | 腦慚 | partial
惱殘 | 惱慚 | partial
惱残 | 惱慚 | partial
白癡 | 白喫 | partial
白痴 | 白喫 | partial
智障 | 智杖 | partial
弱智 | 若智 | partial
支那 | 芝娜 | partial
廢物 | 廢務 | partial
破麻 | 珀麻 | partial
破痲 | 珀痲 | partial
雞雞 | 唧唧 | partial
鷄鷄 | 唧唧 | partial
ㄐㄐ | 唧唧 | partial
尻尻 | 尸尸 | explicit
月巴 | 喵喵 | explicit
肏 | [嗶─] | explicit
膣 | [嗶─] | explicit
毴 | [嗶─] | explicit
屄 | [嗶─] | explicit
幹 | 槓 | explicit
榦 | 槓 | explicit
龫 | 槓 | explicit
斡 | 槓 | explicit
贛 | 槓 | explicit
簳 | 槓 | explicit
淦 | 槓 | explicit
凎 | 槓 | explicit
屌 | 貂 | explicit
𡳞 | 貂 | explicit
勃 | 博 | explicit
肛 | 缸 | explicit
插 | 叉 | explicit
射 | 社 | explicit
操 | 抄 | explicit
糙 | 抄 | explicit
穴 | 雪 | explicit
泬 | 雪 | explicit
洨 | 小 | explicit
姣 | 小 | explicit
屎 | 矢 | explicit
尿 | 喵 | explicit
糞 | 份 | explicit
粪 | 份 | explicit
瀵 | 份 | explicit
賤 | 艦 | explicit
廚 | 雛 | explicit
厨 | 雛 | explicit
櫥 | 雛 | explicit
肥 | 斐 | explicit
腓 | 斐 | explicit
淝 | 斐 | explicit
萉 | 斐 | explicit
姦 | 煎 | explicit
奸 | 煎 | explicit
鮑 | 煲 | explicit
妓 | 技 | explicit
槍 | 銃 | explicit
鎗 | 銃 | explicit
ㄏ | 呵 | explicit
ㄛ | 喵 | explicit
屁 | P | explicit
闢 | P | explicit
管管 | 管管 | ignore
